PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Family_Count,Embarked_Q,Embarked_S
1,0,1,1,22.0,1,0,A/5 21171,7.25,1,0,1
2,1,3,0,38.0,1,0,PC 17599,71.2833,1,0,0
3,1,1,0,26.0,0,0,STON/O2. 3101282,7.925,0,0,1
4,1,3,0,35.0,1,0,113803,53.1,1,0,1
5,0,1,1,35.0,0,0,373450,8.05,0,0,1
6,0,1,1,29.69911764705882,0,0,330877,8.4583,0,1,0
7,0,3,1,54.0,0,0,17463,51.8625,0,0,1
8,0,1,1,2.0,3,1,349909,21.075,4,0,1
9,1,1,0,27.0,0,2,347742,11.1333,2,0,1
10,1,2,0,14.0,1,0,237736,30.0708,1,0,0
11,1,1,0,4.0,1,1,PP 9549,16.7,2,0,1
12,1,3,0,58.0,0,0,113783,26.55,0,0,1
13,0,1,1,20.0,0,0,A/5. 2151,8.05,0,0,1
14,0,1,1,39.0,1,5,347082,31.275,6,0,1
15,0,1,0,14.0,0,0,350406,7.8542,0,0,1
16,1,2,0,55.0,0,0,248706,16.0,0,0,1
17,0,1,1,2.0,4,1,382652,29.125,5,1,0
18,1,2,1,29.69911764705882,0,0,244373,13.0,0,0,1
19,0,1,0,31.0,1,0,345763,18.0,1,0,1
20,1,1,0,29.69911764705882,0,0,2649,7.225,0,0,0
21,0,2,1,35.0,0,0,239865,26.0,0,0,1
22,1,2,1,34.0,0,0,248698,13.0,0,0,1
23,1,1,0,15.0,0,0,330923,8.0292,0,1,0
24,1,3,1,28.0,0,0,113788,35.5,0,0,1
25,0,1,0,8.0,3,1,349909,21.075,4,0,1
26,1,1,0,38.0,1,5,347077,31.3875,6,0,1
27,0,1,1,29.69911764705882,0,0,2631,7.225,0,0,0
28,0,3,1,19.0,3,2,19950,263.0,5,0,1
29,1,1,0,29.69911764705882,0,0,330959,7.8792,0,1,0
30,0,1,1,29.69911764705882,0,0,349216,7.8958,0,0,1
31,0,3,1,40.0,0,0,PC 17601,27.7208,0,0,0
32,1,3,0,29.69911764705882,1,0,PC 17569,146.5208,1,0,0
33,1,1,0,29.69911764705882,0,0,335677,7.75,0,1,0
34,0,2,1,66.0,0,0,C.A. 24579,10.5,0,0,1
35,0,3,1,28.0,1,0,PC 17604,82.1708,1,0,0
36,0,3,1,42.0,1,0,113789,52.0,1,0,1
37,1,1,1,29.69911764705882,0,0,2677,7.2292,0,0,0
38,0,1,1,21.0,0,0,A./5. 2152,8.05,0,0,1
39,0,1,0,18.0,2,0,345764,18.0,2,0,1
40,1,1,0,14.0,1,0,2651,11.2417,1,0,0
41,0,1,0,40.0,1,0,7546,9.475,1,0,1
42,0,2,0,27.0,1,0,11668,21.0,1,0,1
43,0,1,1,29.69911764705882,0,0,349253,7.8958,0,0,0
44,1,2,0,3.0,1,2,SC/Paris 2123,41.5792,3,0,0
45,1,1,0,19.0,0,0,330958,7.8792,0,1,0
46,0,1,1,29.69911764705882,0,0,S.C./A.4. 23567,8.05,0,0,1
47,0,1,1,29.69911764705882,1,0,370371,15.5,1,1,0
48,1,1,0,29.69911764705882,0,0,14311,7.75,0,1,0
49,0,1,1,29.69911764705882,2,0,2662,21.6792,2,0,0
50,0,1,0,18.0,1,0,349237,17.8,1,0,1
51,0,1,1,7.0,4,1,3101295,39.6875,5,0,1
52,0,1,1,21.0,0,0,A/4. 39886,7.8,0,0,1
53,1,3,0,49.0,1,0,PC 17572,76.7292,1,0,0
54,1,2,0,29.0,1,0,2926,26.0,1,0,1
55,0,3,1,65.0,0,1,113509,61.9792,1,0,0
56,1,3,1,29.69911764705882,0,0,19947,35.5,0,0,1
57,1,2,0,21.0,0,0,C.A. 31026,10.5,0,0,1
58,0,1,1,28.5,0,0,2697,7.2292,0,0,0
59,1,2,0,5.0,1,2,C.A. 34651,27.75,3,0,1
60,0,1,1,11.0,5,2,CA 2144,46.9,7,0,1
61,0,1,1,22.0,0,0,2669,7.2292,0,0,0
62,1,3,0,38.0,0,0,113572,80.0,0,0,0
63,0,3,1,45.0,1,0,36973,83.475,1,0,1
64,0,1,1,4.0,3,2,347088,27.9,5,0,1
65,0,3,1,29.69911764705882,0,0,PC 17605,27.7208,0,0,0
66,1,1,1,29.69911764705882,1,1,2661,15.2458,2,0,0
67,1,2,0,29.0,0,0,C.A. 29395,10.5,0,0,1
68,0,1,1,19.0,0,0,S.P. 3464,8.1583,0,0,1
69,1,1,0,17.0,4,2,3101281,7.925,6,0,1
70,0,1,1,26.0,2,0,315151,8.6625,2,0,1
71,0,2,1,32.0,0,0,C.A. 33111,10.5,0,0,1
72,0,1,0,16.0,5,2,CA 2144,46.9,7,0,1
73,0,2,1,21.0,0,0,S.O.C. 14879,73.5,0,0,1
74,0,1,1,26.0,1,0,2680,14.4542,1,0,0
75,1,1,1,32.0,0,0,1601,56.4958,0,0,1
76,0,1,1,25.0,0,0,348123,7.65,0,0,1
77,0,1,1,29.69911764705882,0,0,349208,7.8958,0,0,1
78,0,1,1,29.69911764705882,0,0,374746,8.05,0,0,1
79,1,2,1,0.83,0,2,248738,29.0,2,0,1
80,1,1,0,30.0,0,0,364516,12.475,0,0,1
81,0,1,1,22.0,0,0,345767,9.0,0,0,1
82,1,1,1,29.0,0,0,345779,9.5,0,0,1
83,1,1,0,29.69911764705882,0,0,330932,7.7875,0,1,0
84,0,3,1,28.0,0,0,113059,47.1,0,0,1
85,1,2,0,17.0,0,0,SO/C 14885,10.5,0,0,1
86,1,1,0,33.0,3,0,3101278,15.85,3,0,1
87,0,1,1,16.0,1,3,W./C. 6608,34.375,4,0,1
88,0,1,1,29.69911764705882,0,0,SOTON/OQ 392086,8.05,0,0,1
89,1,3,0,23.0,3,2,19950,263.0,5,0,1
90,0,1,1,24.0,0,0,343275,8.05,0,0,1
91,0,1,1,29.0,0,0,343276,8.05,0,0,1
92,0,1,1,20.0,0,0,347466,7.8542,0,0,1
93,0,3,1,46.0,1,0,W.E.P. 5734,61.175,1,0,1
94,0,1,1,26.0,1,2,C.A. 2315,20.575,3,0,1
95,0,1,1,59.0,0,0,364500,7.25,0,0,1
96,0,1,1,29.69911764705882,0,0,374910,8.05,0,0,1
97,0,3,1,71.0,0,0,PC 17754,34.6542,0,0,0
98,1,3,1,23.0,0,1,PC 17759,63.3583,1,0,0
99,1,2,0,34.0,0,1,231919,23.0,1,0,1
100,0,2,1,34.0,1,0,244367,26.0,1,0,1
101,0,1,0,28.0,0,0,349245,7.8958,0,0,1
102,0,1,1,29.69911764705882,0,0,349215,7.8958,0,0,1
103,0,3,1,21.0,0,1,35281,77.2875,1,0,1
104,0,1,1,33.0,0,0,7540,8.6542,0,0,1
105,0,1,1,37.0,2,0,3101276,7.925,2,0,1
106,0,1,1,28.0,0,0,349207,7.8958,0,0,1
107,1,1,0,21.0,0,0,343120,7.65,0,0,1
108,1,1,1,29.69911764705882,0,0,312991,7.775,0,0,1
109,0,1,1,38.0,0,0,349249,7.8958,0,0,1
110,1,1,0,29.69911764705882,1,0,371110,24.15,1,1,0
111,0,3,1,47.0,0,0,110465,52.0,0,0,1
112,0,1,0,14.5,1,0,2665,14.4542,1,0,0
113,0,1,1,22.0,0,0,324669,8.05,0,0,1
114,0,1,0,20.0,1,0,4136,9.825,1,0,1
115,0,1,0,17.0,0,0,2627,14.4583,0,0,0
116,0,1,1,21.0,0,0,STON/O 2. 3101294,7.925,0,0,1
117,0,1,1,70.5,0,0,370369,7.75,0,1,0
118,0,2,1,29.0,1,0,11668,21.0,1,0,1
119,0,3,1,24.0,0,1,PC 17558,247.5208,1,0,0
120,0,1,0,2.0,4,2,347082,31.275,6,0,1
121,0,2,1,21.0,2,0,S.O.C. 14879,73.5,2,0,1
122,0,1,1,29.69911764705882,0,0,A4. 54510,8.05,0,0,1
123,0,2,1,32.5,1,0,237736,30.0708,1,0,0
124,1,2,0,32.5,0,0,27267,13.0,0,0,1
125,0,3,1,54.0,0,1,35281,77.2875,1,0,1
126,1,1,1,12.0,1,0,2651,11.2417,1,0,0
127,0,1,1,29.69911764705882,0,0,370372,7.75,0,1,0
128,1,1,1,24.0,0,0,C 17369,7.1417,0,0,1
129,1,1,0,29.69911764705882,1,1,2668,22.3583,2,0,0
130,0,1,1,45.0,0,0,347061,6.975,0,0,1
131,0,1,1,33.0,0,0,349241,7.8958,0,0,0
132,0,1,1,20.0,0,0,SOTON/O.Q. 3101307,7.05,0,0,1
133,0,1,0,47.0,1,0,A/5. 3337,14.5,1,0,1
134,1,2,0,29.0,1,0,228414,26.0,1,0,1
135,0,2,1,25.0,0,0,C.A. 29178,13.0,0,0,1
136,0,2,1,23.0,0,0,SC/PARIS 2133,15.0458,0,0,0
137,1,3,0,19.0,0,2,11752,26.2833,2,0,1
138,0,3,1,37.0,1,0,113803,53.1,1,0,1
139,0,1,1,16.0,0,0,7534,9.2167,0,0,1
140,0,3,1,24.0,0,0,PC 17593,79.2,0,0,0
141,0,1,0,29.69911764705882,0,2,2678,15.2458,2,0,0
142,1,1,0,22.0,0,0,347081,7.75,0,0,1
143,1,1,0,24.0,1,0,STON/O2. 3101279,15.85,1,0,1
144,0,1,1,19.0,0,0,365222,6.75,0,1,0
145,0,2,1,18.0,0,0,231945,11.5,0,0,1
146,0,2,1,19.0,1,1,C.A. 33112,36.75,2,0,1
147,1,1,1,27.0,0,0,350043,7.7958,0,0,1
148,0,1,0,9.0,2,2,W./C. 6608,34.375,4,0,1
149,0,2,1,36.5,0,2,230080,26.0,2,0,1
150,0,2,1,42.0,0,0,244310,13.0,0,0,1
151,0,2,1,51.0,0,0,S.O.P. 1166,12.525,0,0,1
152,1,3,0,22.0,1,0,113776,66.6,1,0,1
153,0,1,1,55.5,0,0,A.5. 11206,8.05,0,0,1
154,0,1,1,40.5,0,2,A/5. 851,14.5,2,0,1
155,0,1,1,29.69911764705882,0,0,Fa 265302,7.3125,0,0,1
156,0,3,1,51.0,0,1,PC 17597,61.3792,1,0,0
157,1,1,0,16.0,0,0,35851,7.7333,0,1,0
158,0,1,1,30.0,0,0,SOTON/OQ 392090,8.05,0,0,1
159,0,1,1,29.69911764705882,0,0,315037,8.6625,0,0,1
160,0,1,1,29.69911764705882,8,2,CA. 2343,69.55,10,0,1
161,0,1,1,44.0,0,1,371362,16.1,1,0,1
162,1,2,0,40.0,0,0,C.A. 33595,15.75,0,0,1
163,0,1,1,26.0,0,0,347068,7.775,0,0,1
164,0,1,1,17.0,0,0,315093,8.6625,0,0,1
165,0,1,1,1.0,4,1,3101295,39.6875,5,0,1
166,1,1,1,9.0,0,2,363291,20.525,2,0,1
167,1,3,0,29.69911764705882,0,1,113505,55.0,1,0,1
168,0,1,0,45.0,1,4,347088,27.9,5,0,1
169,0,3,1,29.69911764705882,0,0,PC 17318,25.925,0,0,1
170,0,1,1,28.0,0,0,1601,56.4958,0,0,1
171,0,3,1,61.0,0,0,111240,33.5,0,0,1
172,0,1,1,4.0,4,1,382652,29.125,5,1,0
173,1,1,0,1.0,1,1,347742,11.1333,2,0,1
174,0,1,1,21.0,0,0,STON/O 2. 3101280,7.925,0,0,1
175,0,3,1,56.0,0,0,17764,30.6958,0,0,0
176,0,1,1,18.0,1,1,350404,7.8542,2,0,1
177,0,1,1,29.69911764705882,3,1,4133,25.4667,4,0,1
178,0,3,0,50.0,0,0,PC 17595,28.7125,0,0,0
179,0,2,1,30.0,0,0,250653,13.0,0,0,1
180,0,1,1,36.0,0,0,LINE,0.0,0,0,1
181,0,1,0,29.69911764705882,8,2,CA. 2343,69.55,10,0,1
182,0,2,1,29.69911764705882,0,0,SC/PARIS 2131,15.05,0,0,0
183,0,1,1,9.0,4,2,347077,31.3875,6,0,1
184,1,2,1,1.0,2,1,230136,39.0,3,0,1
185,1,1,0,4.0,0,2,315153,22.025,2,0,1
186,0,3,1,29.69911764705882,0,0,113767,50.0,0,0,1
187,1,1,0,29.69911764705882,1,0,370365,15.5,1,1,0
188,1,3,1,45.0,0,0,111428,26.55,0,0,1
189,0,1,1,40.0,1,1,364849,15.5,2,1,0
190,0,1,1,36.0,0,0,349247,7.8958,0,0,1
191,1,2,0,32.0,0,0,234604,13.0,0,0,1
192,0,2,1,19.0,0,0,28424,13.0,0,0,1
193,1,1,0,19.0,1,0,350046,7.8542,1,0,1
194,1,2,1,3.0,1,1,230080,26.0,2,0,1
195,1,3,0,44.0,0,0,PC 17610,27.7208,0,0,0
196,1,3,0,58.0,0,0,PC 17569,146.5208,0,0,0
197,0,1,1,29.69911764705882,0,0,368703,7.75,0,1,0
198,0,1,1,42.0,0,1,4579,8.4042,1,0,1
199,1,1,0,29.69911764705882,0,0,370370,7.75,0,1,0
200,0,2,0,24.0,0,0,248747,13.0,0,0,1
201,0,1,1,28.0,0,0,345770,9.5,0,0,1
202,0,1,1,29.69911764705882,8,2,CA. 2343,69.55,10,0,1
203,0,1,1,34.0,0,0,3101264,6.4958,0,0,1
204,0,1,1,45.5,0,0,2628,7.225,0,0,0
205,1,1,1,18.0,0,0,A/5 3540,8.05,0,0,1
206,0,1,0,2.0,0,1,347054,10.4625,1,0,1
207,0,1,1,32.0,1,0,3101278,15.85,1,0,1
208,1,1,1,26.0,0,0,2699,18.7875,0,0,0
209,1,1,0,16.0,0,0,367231,7.75,0,1,0
210,1,3,1,40.0,0,0,112277,31.0,0,0,0
211,0,1,1,24.0,0,0,SOTON/O.Q. 3101311,7.05,0,0,1
212,1,2,0,35.0,0,0,F.C.C. 13528,21.0,0,0,1
213,0,1,1,22.0,0,0,A/5 21174,7.25,0,0,1
214,0,2,1,30.0,0,0,250646,13.0,0,0,1
215,0,1,1,29.69911764705882,1,0,367229,7.75,1,1,0
216,1,3,0,31.0,1,0,35273,113.275,1,0,0
217,1,1,0,27.0,0,0,STON/O2. 3101283,7.925,0,0,1
218,0,2,1,42.0,1,0,243847,27.0,1,0,1
219,1,3,0,32.0,0,0,11813,76.2917,0,0,0
220,0,2,1,30.0,0,0,W/C 14208,10.5,0,0,1
221,1,1,1,16.0,0,0,SOTON/OQ 392089,8.05,0,0,1
222,0,2,1,27.0,0,0,220367,13.0,0,0,1
223,0,1,1,51.0,0,0,21440,8.05,0,0,1
224,0,1,1,29.69911764705882,0,0,349234,7.8958,0,0,1
225,1,3,1,38.0,1,0,19943,90.0,1,0,1
226,0,1,1,22.0,0,0,PP 4348,9.35,0,0,1
227,1,2,1,19.0,0,0,SW/PP 751,10.5,0,0,1
228,0,1,1,20.5,0,0,A/5 21173,7.25,0,0,1
229,0,2,1,18.0,0,0,236171,13.0,0,0,1
230,0,1,0,29.69911764705882,3,1,4133,25.4667,4,0,1
231,1,3,0,35.0,1,0,36973,83.475,1,0,1
232,0,1,1,29.0,0,0,347067,7.775,0,0,1
233,0,2,1,59.0,0,0,237442,13.5,0,0,1
234,1,1,0,5.0,4,2,347077,31.3875,6,0,1
235,0,2,1,24.0,0,0,C.A. 29566,10.5,0,0,1
236,0,1,0,29.69911764705882,0,0,W./C. 6609,7.55,0,0,1
237,0,2,1,44.0,1,0,26707,26.0,1,0,1
238,1,2,0,8.0,0,2,C.A. 31921,26.25,2,0,1
239,0,2,1,19.0,0,0,28665,10.5,0,0,1
240,0,2,1,33.0,0,0,SCO/W 1585,12.275,0,0,1
241,0,1,0,29.69911764705882,1,0,2665,14.4542,1,0,0
242,1,1,0,29.69911764705882,1,0,367230,15.5,1,1,0
243,0,2,1,29.0,0,0,W./C. 14263,10.5,0,0,1
244,0,1,1,22.0,0,0,STON/O 2. 3101275,7.125,0,0,1
245,0,1,1,30.0,0,0,2694,7.225,0,0,0
246,0,3,1,44.0,2,0,19928,90.0,2,1,0
247,0,1,0,25.0,0,0,347071,7.775,0,0,1
248,1,2,0,24.0,0,2,250649,14.5,2,0,1
249,1,3,1,37.0,1,1,11751,52.5542,2,0,1
250,0,2,1,54.0,1,0,244252,26.0,1,0,1
251,0,1,1,29.69911764705882,0,0,362316,7.25,0,0,1
252,0,1,0,29.0,1,1,347054,10.4625,2,0,1
253,0,3,1,62.0,0,0,113514,26.55,0,0,1
254,0,1,1,30.0,1,0,A/5. 3336,16.1,1,0,1
255,0,1,0,41.0,0,2,370129,20.2125,2,0,1
256,1,1,0,29.0,0,2,2650,15.2458,2,0,0
257,1,3,0,29.69911764705882,0,0,PC 17585,79.2,0,0,0
258,1,3,0,30.0,0,0,110152,86.5,0,0,1
259,1,3,0,35.0,0,0,PC 17755,512.3292,0,0,0
260,1,2,0,50.0,0,1,230433,26.0,1,0,1
261,0,1,1,29.69911764705882,0,0,384461,7.75,0,1,0
262,1,1,1,3.0,4,2,347077,31.3875,6,0,1
263,0,3,1,52.0,1,1,110413,79.65,2,0,1
264,0,3,1,40.0,0,0,112059,0.0,0,0,1
265,0,1,0,29.69911764705882,0,0,382649,7.75,0,1,0
266,0,2,1,36.0,0,0,C.A. 17248,10.5,0,0,1
267,0,1,1,16.0,4,1,3101295,39.6875,5,0,1
268,1,1,1,25.0,1,0,347083,7.775,1,0,1
269,1,3,0,58.0,0,1,PC 17582,153.4625,1,0,1
270,1,3,0,35.0,0,0,PC 17760,135.6333,0,0,1
271,0,3,1,29.69911764705882,0,0,113798,31.0,0,0,1
272,1,1,1,25.0,0,0,LINE,0.0,0,0,1
273,1,2,0,41.0,0,1,250644,19.5,1,0,1
274,0,3,1,37.0,0,1,PC 17596,29.7,1,0,0
275,1,1,0,29.69911764705882,0,0,370375,7.75,0,1,0
276,1,3,0,63.0,1,0,13502,77.9583,1,0,1
277,0,1,0,45.0,0,0,347073,7.75,0,0,1
278,0,2,1,29.69911764705882,0,0,239853,0.0,0,0,1
279,0,1,1,7.0,4,1,382652,29.125,5,1,0
280,1,1,0,35.0,1,1,C.A. 2673,20.25,2,0,1
281,0,1,1,65.0,0,0,336439,7.75,0,1,0
282,0,1,1,28.0,0,0,347464,7.8542,0,0,1
283,0,1,1,16.0,0,0,345778,9.5,0,0,1
284,1,1,1,19.0,0,0,A/5. 10482,8.05,0,0,1
285,0,3,1,29.69911764705882,0,0,113056,26.0,0,0,1
286,0,1,1,33.0,0,0,349239,8.6625,0,0,0
287,1,1,1,30.0,0,0,345774,9.5,0,0,1
288,0,1,1,22.0,0,0,349206,7.8958,0,0,1
289,1,2,1,42.0,0,0,237798,13.0,0,0,1
290,1,1,0,22.0,0,0,370373,7.75,0,1,0
291,1,3,0,26.0,0,0,19877,78.85,0,0,1
292,1,3,0,19.0,1,0,11967,91.0792,1,0,0
293,0,2,1,36.0,0,0,SC/Paris 2163,12.875,0,0,0
294,0,1,0,24.0,0,0,349236,8.85,0,0,1
295,0,1,1,24.0,0,0,349233,7.8958,0,0,1
296,0,3,1,29.69911764705882,0,0,PC 17612,27.7208,0,0,0
